49, 5130
30, 2693
35, 2426
53, 15427
21, 1232
53, 19094
44, 10248
44, 6465
30, 2206
35, 2014
35, 1951
26, 2293
30, 4011
35, 2269
44, 5454
35, 9884
26, 4157
35, 9069
35, 4014
35, 2194
35, 4312
30, 5126
35, 2859
30, 4152
30, 5209
58, 13872
44, 2042
30, 2613
26, 2368
58, 10312
49, 6567
26, 2942
30, 6347
30, 2632
30, 3204
30, 2720
35, 7295
53, 2306
58, 3346
30, 9419
30, 3072
53, 4450
35, 5916
35, 4425
49, 6804
30, 8474
30, 2657
30, 6696
35, 8789
21, 3230
35, 11996
26, 6397
53, 17584
26, 4741
44, 3161
26, 2373
49, 18665

26, 5828
35, 8020
58, 5660
49, 13964
30, 5775
30, 6118
35, 8095
30, 4736
26, 5296
21, 2174
21, 2610
21, 2716
35, 6540
49, 10965
30, 2476
26, 3102
30, 2285
30, 6577
30, 6091
26, 2886
30, 2097
30, 8412
30, 2564
35, 4230
30, 2983
35, 7632
35, 4717
26, 2741
26, 4306
35, 4859
26, 2340
49, 19502
26, 6272
30, 2033
35, 3681
44, 5985
21, 3447
44, 19513
30, 2083
53, 8381
26, 2659
35, 6646
35, 1281
53, 14814
44, 3708
30, 5304
53, 2450
35, 5093
26, 4364
26, 5326
35, 2572
30, 3833

58, 19246
35, 2506
30, 6877
49, 7654
35, 10221
26, 2366
44, 5933
35, 2559
30, 3761
53, 10934
44, 2818
35, 10685
35, 2022
49, 3580
53, 11836
35, 10903
53, 14275
44, 2559
58, 2380
21, 2693
58, 10552
35, 4014
49, 7403
26, 4294
35, 4601
58, 2479
53, 14852
30, 7264
35, 7823
30, 2132
35, 3743
35, 10388
30, 11416
30, 2422
26, 5472
35, 3917
26, 4969
44, 13320
53, 7525
26, 2042
26, 2007
21, 1416
26, 3955
30, 9957
44, 10482
35, 9582
26, 2377
21, 2070
35, 4968
49, 13120
35, 4323
35, 2258
26, 4420
30, 6578
35, 10274
35, 2376
44, 2936
53, 18606
44, 2290
30, 4115
35, 8966
30, 3491
44, 4541

30, 3579
35, 10377
44, 2011
49, 18711
44, 18213
26, 2875
21, 2625
44, 19190
35, 3506
44, 7978
30, 4695
58, 2372
30, 4627
30, 11916
44, 2362
35, 4249
58, 10008
35, 5363
35, 4614
26, 3904
35, 9362
26, 3578
49, 4284
58, 19701
30, 4779
44, 3162
53, 16598
49, 6651
44, 3420
30, 5301
44, 4768
30, 1274
49, 10466
35, 2404
44, 10209
30, 2064
49, 4789
44, 16328
35, 8606
35, 2430
30, 9714
35, 2450
30, 9250
35, 2074
53, 10169
26, 2061
35, 6142
35, 3407
35, 2690
44, 19049
30, 2141
49, 3211
35, 5208
21, 3117
35, 4148
35, 10306
44, 5743
35, 5440

49, 16413
49, 13966
35, 4581
49, 2587
49, 15379
44, 3195
53, 7005
26, 2570
44, 7879
35, 4930
26, 2305
35, 6883
30, 2862
30, 4968
30, 2180
30, 7140
49, 4507
30, 5294
53, 12965
21, 2679
44, 2342
35, 5813
35, 5762
30, 9667
26, 2148
58, 16291
35, 2705
26, 4684
58, 15787
30, 1081
35, 4788
26, 2933
44, 5033
26, 2544
58, 17875
49, 19161
35, 5561
26, 2867
35, 5204
53, 10448
30, 3748
35, 2660
35, 5098
44, 2436
21, 2380
35, 8837
35, 5689
35, 2977
26, 2966
49, 5390

